,Titre,notes,votes
0,Ozymandias,10.0,165156
1,Hero,10.0,90340
2,Everyone's Waiting,9.9,9489
3,Midnight Sun,9.9,40303
4,That Day,9.9,35742
5,The View from Halfway Down,9.9,14740
6,End of The Prologue,9.9,7662
7,"Sozin's Comet, Part 4: Avatar Aang",9.9,10950
8,Ishq Mein Marjawan 2,9.9,7844
9,Re;,9.9,6599
10,Declaration of War,9.9,57104
11,The War Hammer Titan,9.9,55782
12,Assault,9.9,72899
13,Lag Gayi,9.9,26932
14,Saste Sherlock,9.9,11359
15,Erection in progress,9.9,12757
16,DTYDHTB,9.9,12565
17,Toota Ek Taara,9.9,16947
18,1959,9.9,35093
19,Ketsui,9.9,7261
20,Face Off,9.9,57174
21,Two Brothers,9.9,56395
22,Memories of the Future,9.9,47899
23,I Will Never Give Up,9.9,15691
24,"From You, 2000 Years Ago",9.9,46689
25,The Rains of Castamere,9.9,101604
26,Felina,9.9,109972
27,Battle of the Bastards,9.9,203977
28,The Winds of Winter,9.9,143862
29,The Trust,9.9,22708
30,407 Proxy Authentication Required,9.9,27241
31,The Phantom Apprentice,9.9,12557
32,Victory and Death,9.9,12695
33,Perfect Game,9.9,49716
34,Blink,9.8,20212
35,Hinokami,9.8,13534
36,"Hello, Elliot",9.8,16598
37,This Is Not for Tears,9.8,7527
38,Harga,9.8,9515
39,Sozin's Comet,9.8,6523
40,House's Head,9.8,9403
41,Chapter 16: The Rescue,9.8,52561
42,The Getaway,9.8,13269
43,Baasi Roti,9.8,10443
44,Nano Thug Lenge,9.8,9664
45,Samay Ka Pahiya,9.8,7887
46,All the Bells Say,9.8,8537
47,Modern Warfare,9.8,11996
48,The Silence of Swastika,9.8,9055
49,"Goodbye, Michael",9.8,13844
