,Titre
0,Flesh & Blood
1,The George McKenna Story
2,Cry Freedom
3,For Queen & Country
4,Glory
5,The Mighty Quinn
6,Heart Condition
7,Mo' Better Blues
8,Mississippi Masala
9,Ricochet
10,Liberators: Fighting on Two Fronts in World War II
11,Malcolm X
12,The Pelican Brief
13,Philadelphia
14,Crimson Tide
15,Devil in a Blue Dress
16,Virtuosity
17,Courage Under Fire
18,The Preacher's Wife
19,Fallen
20,He Got Game
21,The Siege
22,Training Day
23,Baka: The People of the Rainforest
24,The Bone Collector
25,Antwone Fisher
26,The Hurricane
27,Remember the Titans
28,John Q
29,Half Past Autumn: The Life and Works of Gordon Parks
30,Out of Time
31,Man on Fire
32,The Manchurian Candidate
33,The Great Debaters
34,Jonathan Demme and the Making of 'the Manchurian Candidate'
35,Deja Vu
36,Inside Man
37,The Equalizer
38,Unstoppable
39,American Gangster
40,The Ultimate Heist: Making 'Inside Man'
41,A Journal for Jordan
42,The Little Things
43,The Tragedy of Macbeth
44,The Book of Eli
45,Ma Rainey's Black Bottom
46,The Taking of Pelham 1 2 3
47,We Have a Dream
48,2 Guns
49,The Piano Lesson
50,Safe House
51,The Equalizer 3
52,Flight
53,Joe Turner's Come and Gone (II)
54,Gem of the Ocean
55,Joe Turner's Come and Gone
56,Seven Guitars
57,Two Trains Running
58,King Headley II
59,Radio Golf
60,Jitney
61,The Magnificent Seven
62,Fences
63,The March
64,The Equalizer 2
65,Chasing Trane: The John Coltrane Documentary
66,Dateline NBC: American Gangster: First Look
67,"Roman J. Israel, Esq."
68,The 40 Year Journey of Marvin L. Winans
69,Denzel Washington: Reel Life
